Model,Accuracy,Precision,Recall,F1-Score,Training Time (s),True Positives,True Negatives,False Positives,False Negatives
Logistic Regression,0.9899950795473184,0.9857045609257998,0.9934819897084048,0.9895779941910131,5.175534725189209,2896,3140,42,19
Support Vector Machine,0.9895030342791536,0.9856899488926746,0.9924528301886792,0.989059829059829,9.147620677947998,2893,3140,42,22
Random Forest,0.9844185665081188,0.9773188896411645,0.9903945111492282,0.9838132560913273,265.4846839904785,2887,3115,67,28
Multinomial Naive Bayes,0.983926521239954,0.9835221421215242,0.9828473413379074,0.98318462594372,7.038349866867065,2865,3134,48,50
